GEOID,medrnt12,medrnt12_moe
060014216004,2121.06,NA
060014217001,1549.72,307.40000000000003
060014217002,1811.5400000000002,305.28000000000003
060014217003,1235.96,325.42
060014218001,1296.38,307.40000000000003
060014218002,1953.5800000000002,357.22
060014219001,1855,1031.38
060014219002,1472.3400000000001,212
060014219003,1550.78,551.2
060014219004,1711.9,433.54
060014220001,1504.14,385.84000000000003
060014220002,416.58000000000004,1149.04
060014221001,1590,327.54
060014221002,941.2800000000001,126.14
060014222001,1465.98,272.42
060014222002,1158.5800000000002,140.98000000000002
060014222003,1026.0800000000002,357.22
060014223001,1530.64,165.36
060014223002,1478.7,187.62
060014223003,1151.16,296.8
060014224001,1604.8400000000001,188.68
060014224002,1275.18,182.32000000000002
060014224003,1646.18,419.76000000000005
060014225001,1664.2,301.04
060014225002,1712.96,216.24
060014225003,1255.04,76.32000000000001
060014226001,NA,NA
060014227001,1210.52,204.58
060014227002,1557.14,956.12
060014227003,1559.26,258.64
060014228001,1180.8400000000001,358.28000000000003
060014228002,1040.92,171.72
060014228003,1241.26,54.06
060014229001,1249.74,94.34
060014229002,1442.66,184.44
060014230001,1229.6000000000001,167.48000000000002
060014230002,1564.5600000000002,184.44
060014230003,1357.8600000000001,262.88
060014231001,760.02,362.52000000000004
060014231002,1117.24,215.18
060014231003,984.74,668.86
060014231004,1388.6000000000001,286.2
060014232001,935.98,385.84000000000003
060014232002,1347.26,139.92000000000002
060014233001,1060,889.34
060014233002,821.5,166.42000000000002
060014233003,1423.5800000000002,549.08
060014234001,1259.28,619.0400000000001
060014234002,1651.48,1142.68
060014234003,1214.76,767.44
060014234004,1196.74,402.8
060014235001,1311.22,440.96000000000004
060014235002,1194.6200000000001,190.8
060014235003,1007,284.08000000000004
060014236011,1314.4,136.74
060014236012,1214.76,291.5
060014236021,1297.44,216.24
060014236022,1498.8400000000001,122.96000000000001
060014236023,1767.02,354.04
060014237001,1079.0800000000002,489.72
060014237002,1335.6000000000001,228.96
060014237003,1391.78,507.74
060014238001,2121.06,NA
060014238002,1961,238.5
060014238003,1631.3400000000001,251.22
060014239011,950.82,361.46000000000004
060014239012,986.86,67.84
060014239021,1346.2,242.74
060014239022,1304.8600000000001,168.54000000000002
060014240011,986.86,287.26
060014240012,1367.4,243.8
060014240013,1262.46,314.82
060014240014,1192.5,139.92000000000002
060014240021,1475.52,350.86
060014240022,1091.8,344.5
060014251011,1257.16,85.86
060014251012,1510.5,82.68
060014251021,1680.1000000000001,203.52
060014251022,1839.1000000000001,71.02000000000001
060014251023,2121.06,NA
060014251031,1954.64,179.14000000000001
060014251032,2042.6200000000001,356.16
060014251033,1266.7,116.60000000000001
060014251041,1287.9,249.10000000000002
060014251042,1484,91.16000000000001
060014261001,2121.06,NA
060014261002,NA,NA
060014261003,NA,NA
060014261004,NA,NA
060014261005,2121.06,NA
060014261006,NA,NA
060014262001,1917.5400000000002,215.18
060014262002,2121.06,NA
060014262003,1516.8600000000001,464.28000000000003
060014271001,1427.8200000000002,139.92000000000002
060014271002,2121.06,NA
